Nextstrain_clade	first_sequence
19A	2019-12-01
19B	2019-12-01
20A	2020-01-20
20A.EU2	2020-02-15
20B	2020-02-14
20C	2020-02-25
20D	2020-03-12
20E	2020-05-27
20F	2020-05-24
20G	2020-06-11
20H	2020-08-10
20I	2020-09-20
20J	2020-10-29
21A	2020-10-30
21B	2020-10-30
21C	2020-08-03
21D	2020-11-21
21E	2021-01-10
21F	2020-11-20
21G	2021-01-05
21H	2021-01-05
21I	2020-10-30
21J	2020-10-30
21K	2021-09-01
21L	2021-09-01
21M	2021-09-01
22A	2021-12-01
22B	2021-12-01
22C	2021-12-01
22D	2022-04-01
22E	2022-07-10
22F	2022-07-01
23A	2022-10-01
23B	2022-11-01
23C	2022-06-01
23D	2022-08-01
23E	2022-10-01
23F	2023-01-01
23G	2023-01-01
23H	2023-03-01
23I	2023-04-01
24A	2023-07-01
24B	2023-11-01
24C	2023-12-01
24D	2024-01-01
24E	2023-12-01
24F	2024-05-01
24G	2024-01-01
24H	2024-05-01
24I	2024-05-01
25A	2024-07-01
