clade	parent	WHO
19B	19A	
20A	19A	
20B	20A	
20C	20A	
20D	20B	
20E	20A	
20F	20B	
20G	20C	
20H	20C	Beta
20I	20B	Alpha
20J	20B	Gamma
21A	20A	Delta
21B	20A	Kappa
21C	20C	Epsilon
21D	20A	Eta
21E	20B	Theta
21F	20C	Iota
21G	20D	Lambda
21H	20A	Mu
21I	21A	Delta
21J	21A	Delta
21K	21M	Omicron
21L	21M	Omicron
21M	20B	Omicron
22A	21L	Omicron
22B	21L	Omicron
22C	21L	Omicron
22D	21L	Omicron
22E	22B	Omicron
22F	21L	Omicron
23A	22F	Omicron
23B	22F	Omicron
23C	22D	Omicron
23D	22F	Omicron
23E	22F	Omicron
23F	23D	Omicron
23G	23A	Omicron
23H	23F	Omicron
23I	21L	Omicron
24A	23I	Omicron
24B	24A	Omicron
24C	24B	Omicron
24D	21L	Omicron
24E	24C	Omicron
24F	24A	Omicron
24G	24B	Omicron
24H	24A	Omicron
24I	24A	Omicron
25A	24B	Omicron
